iter	Passed	Remaining
417	2493	3472
418	2500	3466
419	2505	3459
420	2510	3453
421	2515	3445
422	2521	3439
423	2526	3432
424	2531	3425
425	2537	3418
426	2542	3411
427	2548	3405
428	2553	3398
429	2558	3391
430	2564	3385
431	2569	3378
432	2574	3371
433	2580	3365
434	2586	3359
435	2591	3352
436	2596	3345
437	2602	3338
438	2607	3332
439	2613	3325
440	2618	3319
441	2624	3312
442	2629	3306
443	2635	3299
444	2640	3293
445	2645	3286
446	2650	3279
447	2657	3274
448	2662	3267
449	2667	3260
450	2673	3254
451	2679	3248
452	2684	3241
453	2689	3234
454	2694	3227
455	2700	3221
456	2705	3214
457	2710	3207
458	2716	3201
459	2721	3195
460	2727	3188
461	2732	3182
462	2737	3175
463	2743	3169
464	2748	3162
465	2754	3155
466	2759	3149
467	2764	3143
468	2770	3136
469	2776	3130
470	2781	3123
471	2787	3117
472	2792	3111
473	2798	3105
474	2803	3098
475	2808	3092
476	2814	3086
477	2820	3079
478	2825	3073
479	2831	3067
480	2836	3060
481	2841	3054
482	2846	3047
483	2852	3041
484	2857	3034
485	2864	3029
486	2870	3023
487	2875	3017
488	2881	3010
489	2886	3004
490	2892	2998
491	2897	2992
492	2903	2985
493	2909	2979
494	2914	2973
495	2920	2967
496	2925	2960
497	2931	2954
498	2936	2948
499	2941	2941
500	2947	2935
501	2952	2929
502	2959	2924
503	2965	2918
504	2970	2911
505	2975	2904
506	2980	2898
507	2986	2892
508	2991	2885
509	2997	2879
510	3002	2873
511	3008	2867
512	3014	2861
513	3020	2855
514	3026	2849
515	3031	2843
516	3036	2837
517	3042	2831
518	3047	2824
519	3052	2818
520	3058	2811
521	3064	2806
522	3069	2799
523	3075	2793
524	3080	2787
525	3085	2780
526	3091	2774
527	3096	2768
528	3102	2762
529	3108	2756
530	3113	2750
531	3119	2743
532	3124	2737
533	3131	2732
534	3137	2726
535	3142	2720
536	3148	2714
537	3153	2708
538	3158	2701
539	3163	2695
540	3169	2688
541	3174	2682
542	3179	2676
543	3184	2669
544	3190	2663
545	3196	2657
546	3201	2651
547	3207	2645
548	3212	2639
549	3217	2632
550	3222	2625
551	3228	2620
552	3234	2614
553	3239	2608
554	3245	2601
555	3250	2596
556	3256	2590
557	3262	2584
558	3268	2578
559	3273	2572
560	3278	2565
561	3284	2559
562	3289	2553
563	3294	2547
564	3299	2540
565	3305	2534
566	3311	2528
567	3316	2522
568	3322	2516
569	3327	2510
570	3333	2504
571	3338	2498
572	3344	2492
573	3350	2486
574	3355	2480
575	3361	2474
576	3366	2468
577	3372	2462
578	3377	2455
579	3382	2449
580	3388	2443
581	3393	2437
582	3398	2430
583	3403	2424
584	3409	2418
585	3414	2412
586	3420	2406
587	3425	2400
588	3431	2394
589	3436	2388
590	3442	2382
591	3447	2375
592	3452	2369
593	3457	2363
594	3463	2357
595	3468	2351
596	3474	2345
597	3480	2339
598	3485	2333
599	3490	2327
600	3495	2320
601	3500	2314
602	3506	2308
603	3511	2302
604	3516	2296
605	3522	2290
606	3528	2284
607	3534	2278
608	3540	2273
609	3545	2267
610	3551	2261
611	3557	2255
612	3562	2249
613	3568	2243
614	3574	2237
615	3579	2231
616	3585	2225
617	3590	2219
618	3595	2213
619	3601	2207
620	3607	2201
621	3612	2195
622	3618	2189
623	3624	2183
624	3629	2177
625	3635	2172
626	3641	2166
627	3646	2159
628	3651	2153
629	3657	2148
630	3664	2142
631	3669	2136
632	3675	2130
633	3680	2124
634	3685	2118
635	3691	2112
636	3696	2106
637	3702	2101
638	3708	2095
639	3713	2089
640	3719	2083
641	3725	2077
642	3730	2071
643	3736	2065
644	3741	2059
645	3747	2053
646	3753	2047
647	3758	2041
648	3764	2035
649	3769	2029
650	3775	2023
651	3780	2017
652	3785	2011
653	3791	2005
654	3797	2000
655	3802	1994
656	3808	1988
657	3813	1981
658	3818	1975
659	3823	1969
660	3828	1963
661	3834	1957
662	3839	1951
663	3845	1946
664	3851	1940
665	3856	1934
666	3862	1928
667	3868	1922
668	3874	1916
669	3880	1911
670	3885	1905
671	3891	1899
672	3896	1893
673	3903	1887
674	3908	1881
675	3913	1875
676	3919	1870
677	3925	1864
678	3931	1858
679	3936	1852
680	3941	1846
681	3947	1840
682	3952	1834
683	3958	1828
684	3963	1822
685	3969	1816
686	3974	1810
687	3980	1804
688	3985	1798
689	3990	1792
690	3996	1786
691	4001	1781
692	4007	1775
693	4012	1769
694	4017	1763
695	4023	1757
696	4028	1751
697	4033	1745
698	4039	1739
699	4044	1733
700	4050	1727
701	4055	1721
702	4061	1715
703	4066	1709
704	4072	1703
705	4077	1697
706	4082	1691
707	4088	1686
708	4093	1680
709	4098	1674
710	4104	1668
711	4109	1662
712	4115	1656
713	4120	1650
714	4126	1644
715	4132	1638
716	4137	1633
717	4142	1626
718	4147	1620
719	4152	1615
720	4158	1609
721	4163	1603
722	4169	1597
723	4175	1591
