iter	RMSE
187	75684.83549
188	75592.0006
189	75337.70724
190	74791.51402
191	74072.79156
192	73493.58873
193	73412.30135
194	73231.38569
195	73150.39393
196	72839.2609
197	72771.81055
198	72595.46837
199	72371.95529
200	72302.44534
201	71964.41022
202	71900.48404
203	71630.74813
204	71570.30221
205	71470.0033
206	71249.08799
207	70661.33201
208	70209.9486
209	69997.52099
210	69957.93308
211	69929.76028
212	69329.12201
213	69098.70388
214	68902.81979
215	68751.65138
216	68541.83689
217	68508.94623
218	68449.00198
219	68120.30098
220	67668.2657
221	67570.119
222	67487.94316
223	67451.6837
224	66912.24529
225	66636.74147
226	66594.49994
227	66386.48965
228	66070.65813
229	65597.71178
230	65558.53085
231	65508.40589
232	65085.70147
233	65016.90982
234	64969.87041
235	64528.65115
236	64405.82816
237	63974.17303
238	63716.54824
239	63576.35638
240	63205.54434
241	62969.81463
242	62547.08247
243	62416.69285
244	62142.26708
245	62001.09474
246	61962.35916
247	61639.96982
248	60887.43467
249	60851.78076
250	60831.74587
251	60625.82134
252	60399.1335
253	60273.56755
254	59620.04302
255	59586.70991
256	59330.66412
257	59097.4619
258	59065.68329
259	58915.86512
260	58867.12288
261	58700.50542
262	58550.92775
263	58409.35128
264	58253.67288
265	58134.46638
266	58128.38117
267	57800.67505
268	57678.72722
269	57319.41474
270	56735.72418
271	56718.15362
272	56446.30199
273	56286.27664
274	56126.18868
275	56097.92985
276	55960.25173
277	55840.71948
278	55820.63896
279	55536.16333
280	55509.95128
281	55503.62731
282	55385.38473
283	55343.46015
284	55062.81348
285	54930.51494
286	54746.39924
287	54268.31379
288	53539.03367
289	53527.99014
290	53214.66559
291	52742.94782
292	52522.35653
293	52349.8135
294	52126.56011
295	51976.90616
296	51952.29183
297	51861.16115
298	51822.86792
299	51487.87257
300	51437.66414
301	51023.47067
302	50787.85998
303	50621.9186
304	50458.58427
305	50334.90482
306	50220.7941
307	50089.6574
308	49973.55037
309	49815.88603
310	49650.47976
311	49506.11239
312	49492.71596
313	49383.79013
314	49271.37452
315	49241.35657
316	48915.19575
317	48614.38259
318	48585.81471
319	48456.60263
320	47887.94728
321	47589.57839
322	47405.95479
323	47285.88924
324	47264.32347
325	47165.36223
326	47113.94914
327	46974.20821
328	46956.77742
329	46666.54352
330	46528.06391
331	46288.22011
332	46155.96016
333	46126.74881
334	46107.30316
335	45988.53275
336	45863.67968
337	45759.0482
338	45645.81507
339	45524.72265
340	45472.99524
341	45161.86701
342	45009.13359
343	44911.62272
344	44895.99098
345	44877.71729
346	44815.28097
347	44766.1953
348	44647.47204
349	44521.48905
350	44469.85958
351	44453.08937
352	44368.12364
353	44172.13623
354	44000.26064
355	43907.72211
356	43817.99809
357	43805.26898
358	43793.06424
359	43544.39837
360	43259.34424
361	43247.49789
362	43166.60669
363	43044.92214
364	42959.74328
365	42856.7394
366	42845.32968
367	42610.41877
368	42533.12221
369	42352.12986
370	42200.8669
371	42165.82355
372	41991.46271
373	41897.31713
374	41853.86948
375	41828.66611
376	41742.6475
377	41721.37751
378	41711.15014
379	41669.58692
380	41494.71341
381	41476.18662
382	41312.00954
383	41228.54492
384	41203.30431
385	41124.16151
386	41013.43437
387	40824.65189
388	40712.41171
389	40641.54889
390	40185.62764
391	40182.76141
392	40085.44471
393	40029.36565
394	39985.79575
395	39936.74455
396	39800.0946
397	39675.11057
398	39519.06409
399	39412.03853
400	39312.16272
401	39245.57024
402	39242.62422
403	39221.31854
404	39154.98863
405	39053.46284
406	39008.67101
407	39001.59206
408	38915.26334
409	38703.34896
410	38647.54063
411	38509.67793
412	38366.3888
413	38298.5005
414	38275.46457
415	38188.26848
416	38049.12306
417	37959.27729
418	37887.60157
419	37747.71785
420	37721.62377
421	37547.30679
422	37540.76796
423	37521.22142
424	37457.0488
425	37370.66773
426	37271.87762
427	37172.72326
428	37051.68087
429	36817.76544
430	36428.45594
431	36352.84175
432	36327.06952
433	36237.33657
434	36224.40273
435	36124.99895
436	36086.7842
437	36074.64312
438	36046.29076
439	36032.30399
440	35976.11329
441	35892.3375
442	35761.99489
443	35758.19618
444	35448.88715
445	35317.90991
446	35160.2124
447	35099.55365
448	35045.39153
449	34962.69322
450	34894.67511
451	34845.5825
452	34704.72962
453	34386.75792
454	34285.10135
455	34176.52376
456	34078.45447
457	33895.88838
458	33832.06196
459	33582.36599
460	33577.34114
461	33493.41126
462	33435.41315
463	33369.46114
464	33314.79439
465	33310.25003
466	33252.74976
467	33211.80781
468	33130.51324
469	32876.30292
470	32790.42708
471	32592.14188
472	32527.27962
473	32443.41097
474	32365.40333
475	32344.24269
476	32254.62969
477	32148.95507
478	32070.54932
479	32066.9243
480	32027.84471
481	31913.06287
482	31808.43533
483	31647.23755
484	31495.45748
485	31491.65581
486	31433.03308
487	31336.49343
488	31243.43098
489	31090.10736
490	31037.16501
491	30923.19522
492	30871.45055
493	30790.80878
494	30699.21217
495	30679.00527
496	30642.80695
497	30630.70007
498	30611.82968
499	30518.98271
500	30423.83574
501	30366.67101
502	30284.58867
503	30283.00834
504	30170.82468
505	30103.90752
506	30087.01026
507	30074.68841
508	30035.82437
509	30019.74185
510	30010.51673
511	29954.80038
512	29902.54318
513	29743.23214
514	29732.69742
515	29595.48464
516	29536.97653
517	29524.11435
518	29485.98028
519	29422.22503
520	29326.07217
521	29187.40496
522	29070.99043
523	29017.16944
524	28963.17691
525	28856.07364
526	28807.67414
527	28761.0989
528	28696.08076
529	28665.88913
530	28614.41826
531	28531.51928
532	28520.78686
533	28453.42278
534	28415.68035
535	28402.29691
536	28279.76879
537	28116.3654
538	28106.23345
539	28042.14009
540	28018.24312
541	27919.75371
542	27910.65031
543	27815.37304
544	27721.02992
545	27666.77871
546	27573.31446
547	27491.25625
548	27408.04912
549	27360.16949
550	27287.44293
551	27236.6064
552	27181.9956
553	27062.19144
554	26990.45625
555	26985.93944
556	26984.53075
557	26948.34039
558	26907.62343
559	26840.14344
560	26778.51002
561	26764.74932
562	26738.00094
563	26714.20547
564	26665.36998
565	26644.10925
566	26619.18999
567	26604.713
568	26446.39084
569	26359.06692
570	26306.60706
571	26210.18347
572	26178.59887
573	26113.67804
574	26076.0015
575	26024.73144
576	25953.72944
577	25871.27084
578	25787.48319
579	25778.30131
580	25767.62363
581	25728.49949
582	25682.20979
583	25612.33232
584	25568.4041
585	25545.70389
586	25484.73166
587	25433.01374
588	25402.38423
589	25383.99358
590	25259.58156
591	25252.99184
592	25184.88631
593	25111.02871
594	25035.22994
595	24962.90211
596	24907.37431
597	24858.22434
598	24834.27344
599	24782.18833
600	24743.23551
601	24657.98614
602	24586.86047
603	24526.18774
604	24476.75095
605	24439.18913
606	24394.50852
607	24348.48291
608	24314.66333
609	24280.55041
610	24266.9004
611	24175.45639
612	24157.62885
613	24095.08165
614	24016.81926
615	23969.27021
616	23924.98644
617	23918.52411
618	23873.37987
619	23860.36808
620	23826.95553
621	23754.14314
622	23748.81034
623	23717.92897
624	23710.36162
625	23706.38011
626	23638.71281
627	23626.82757
628	23588.72295
629	23560.07542
630	23547.89445
631	23472.47294
632	23387.85728
633	23317.44843
634	23255.11019
635	23220.97762
636	23170.14187
637	23120.63613
638	23087.11927
639	23040.24438
640	23030.169
641	22970.35746
642	22910.95175
643	22872.12189
644	22856.12256
645	22752.56202
646	22700.68734
647	22668.56116
648	22611.98093
649	22561.26747
650	22500.07855
651	22446.41459
652	22431.14694
653	22401.12833
654	22311.39036
655	22259.98848
656	22212.01474
657	22163.90551
658	22101.05623
659	22048.5656
660	22024.51331
661	22020.20609
662	21976.46942
663	21971.55617
664	21959.36437
665	21895.35926
666	21848.33202
667	21803.00311
668	21761.12158
669	21749.67422
670	21702.7505
671	21609.56705
672	21553.60012
673	21495.67603
674	21456.27758
675	21450.75383
676	21424.35193
677	21419.96767
678	21392.3048
679	21351.98785
680	21309.55643
681	21305.97174
682	21249.39412
683	21238.60727
684	21206.46152
685	21178.25985
686	21142.63323
687	21093.77816
688	21056.68802
689	21024.30837
690	21022.62234
691	20984.41553
692	20934.29666
693	20892.57511
694	20848.31942
695	20844.91755
696	20806.92905
697	20803.67349
698	20800.25358
699	20790.28266
700	20769.86756
701	20742.06881
702	20700.96796
703	20691.74426
704	20652.65814
705	20625.43335
706	20567.48685
707	20538.4971
708	20490.33637
709	20450.02167
710	20402.52797
711	20378.36938
712	20375.39312
713	20317.44791
714	20253.30894
715	20200.84972
716	20179.51065
717	20136.78389
718	20093.85221
719	20022.66526
720	19982.60164
721	19971.76254
722	19951.83248
723	19913.83663
724	19852.23732
725	19822.9704
726	19790.50415
727	19742.00837
728	19711.83002
729	19694.03458
730	19686.14439
731	19651.61245
732	19641.74419
733	19618.03891
734	19584.89543
735	19553.86739
736	19518.10468
737	19486.7609
738	19444.87882
739	19438.74739
740	19354.72667
741	19313.41997
742	19275.23377
743	19218.49485
744	19194.43268
745	19164.54293
746	19125.84164
747	19076.9478
748	19068.30758
749	19041.34626
750	18997.88277
751	18979.59636
752	18930.80483
753	18890.11513
754	18852.62187
755	18828.41343
756	18820.75435
757	18799.78554
758	18789.79413
759	18723.77757
760	18664.1511
761	18634.9773
762	18596.89844
763	18570.06306
764	18530.34974
765	18474.45672
766	18413.20646
767	18380.47636
768	18370.82204
769	18339.08968
770	18314.54915
771	18278.19576
772	18235.34614
773	18183.42103
774	18147.20869
775	18104.31187
776	18084.34554
777	18078.5615
778	18027.64284
779	17993.87994
780	17966.67486
781	17929.61371
782	17879.55014
783	17828.31276
784	17798.09568
785	17797.05
786	17753.43704
787	17737.3074
788	17728.32225
789	17697.91189
790	17669.06284
791	17631.04493
792	17597.42562
793	17568.19582
794	17539.57651
795	17517.42666
796	17510.91166
797	17478.68758
798	17448.28263
799	17404.84993
800	17378.39849
801	17345.86194
802	17287.33502
803	17222.95386
804	17211.70648
805	17210.78436
806	17209.91613
807	17208.02519
808	17198.99617
809	17170.93203
810	17150.65767
811	17124.29145
812	17119.12446
813	17083.71517
814	17056.17846
815	16997.91028
816	16967.42792
817	16914.02121
818	16873.11551
819	16830.72202
820	16813.33561
821	16782.45129
822	16759.80865
823	16723.86524
824	16719.08143
825	16687.55475
826	16661.2357
827	16638.19039
828	16606.73877
829	16579.19895
830	16532.81495
831	16509.24874
832	16504.72994
833	16478.19587
834	16430.67498
835	16417.35809
836	16400.60515
837	16372.91519
838	16342.16313
839	16295.19111
840	16265.08613
841	16249.14109
842	16206.74504
843	16158.51774
844	16134.21818
845	16131.63135
846	16102.54155
847	16079.29289
848	16034.50747
849	16031.92508
850	16022.54021
851	16009.28076
852	15981.25496
853	15978.85083
854	15957.67286
855	15932.72403
856	15891.47518
857	15876.63502
858	15863.58937
859	15838.95577
860	15803.19296
861	15781.33861
862	15769.20385
863	15744.95343
864	15711.53923
865	15686.75847
866	15668.87902
867	15667.02563
868	15635.045
869	15606.14837
870	15579.50856
871	15517.56333
872	15480.89946
873	15459.7464
874	15431.52355
875	15380.73162
876	15374.61994
877	15341.82058
878	15307.85455
879	15292.60997
880	15261.64036
881	15240.89299
882	15219.45572
883	15210.8686
884	15179.98293
885	15158.24038
886	15133.6184
887	15132.19118
888	15109.7243
889	15089.09929
890	15078.18237
891	15074.5243
892	15063.37158
893	15013.13071
894	14994.43664
895	14969.3352
896	14945.78243
897	14889.53465
898	14866.93602
899	14826.79125
900	14791.80157
901	14771.30503
902	14731.01722
903	14704.72216
904	14668.39503
905	14640.59419
906	14619.38828
907	14584.71605
908	14569.32383
909	14538.81545
910	14521.99902
911	14512.27287
912	14510.17811
913	14490.77718
914	14472.89133
915	14463.66244
916	14443.16603
917	14413.33594
918	14381.86542
919	14355.88391
920	14354.23846
921	14319.91332
922	14299.36836
923	14270.96832
924	14251.81049
925	14182.58587
926	14141.49225
927	14106.47294
928	14079.15855
929	14057.35441
930	14037.06203
931	14017.62128
932	14005.93653
933	13977.64672
934	13961.45262
935	13949.6133
936	13944.03434
937	13942.4177
938	13934.96713
939	13910.22002
940	13890.67782
941	13840.79254
942	13839.22962
943	13818.03875
944	13801.9515
945	13771.37864
946	13748.06479
947	13709.75836
948	13688.66687
949	13653.82145
950	13636.19801
951	13612.34898
952	13593.89822
953	13569.71879
954	13563.28492
955	13561.33985
956	13545.67932
957	13533.37936
958	13506.35971
959	13485.33357
960	13461.20937
961	13434.77054
962	13419.90955
963	13357.10389
964	13338.60602
965	13305.88593
966	13287.25208
967	13273.28439
968	13253.97963
969	13235.51024
970	13198.3464
971	13151.01112
972	13126.89168
973	13110.24599
974	13067.93058
975	13046.5822
976	13025.49978
977	13008.98967
978	12981.0573
979	12955.01113
980	12932.08017
981	12929.63971
982	12915.51752
983	12901.38989
984	12878.67016
985	12868.67508
986	12844.97775
987	12820.33621
988	12772.28277
989	12761.83519
990	12736.80915
991	12718.53849
992	12711.64706
993	12694.33768
994	12669.86103
995	12638.98949
996	12616.42477
997	12601.84879
998	12577.90502
999	12557.38834
